Ref,Rank,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format
lrTeamsODIs2024_001,1,t001,AustraliaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/au.png,14,99.00,2024,February,ODIs
lrTeamsODIs2024_002,2,t002,EnglandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-eng.png,29,98.01,2024,February,ODIs
lrTeamsODIs2024_003,3,t003,South AfricaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/za.png,31,97.03,2024,February,ODIs
lrTeamsODIs2024_004,4,t004,West IndiesODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/wi.png,36,96.06,2024,February,ODIs
lrTeamsODIs2024_005,5,t005,New ZealandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nz.png,37,95.10,2024,February,ODIs
lrTeamsODIs2024_006,6,t006,IndiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/in.png,38,94.15,2024,February,ODIs
lrTeamsODIs2024_007,7,t007,PakistanODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pk.png,38,93.21,2024,February,ODIs
lrTeamsODIs2024_008,8,t008,Sri LankaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lk.png,38,92.27,2024,February,ODIs
lrTeamsODIs2024_009,9,t001,CanadaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ca.png,20,91.35,2024,February,ODIs
lrTeamsODIs2024_010,10,t002,ZimbabweODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/zw.png,26,90.44,2024,February,ODIs
lrTeamsODIs2024_011,11,t003,BangladeshODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bd.png,47,89.53,2024,February,ODIs
lrTeamsODIs2024_012,12,t004,United Arab EmiratesODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ae.png,37,88.64,2024,February,ODIs
lrTeamsODIs2024_013,13,t005,NetherlandsODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/nl.png,14,87.75,2024,February,ODIs
lrTeamsODIs2024_014,14,t006,KenyaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ke.png,19,86.87,2024,February,ODIs
lrTeamsODIs2024_015,15,t007,ScotlandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gb-sct.png,19,86.01,2024,February,ODIs
lrTeamsODIs2024_016,16,t008,NamibiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/na.png,15,85.15,2024,February,ODIs
lrTeamsODIs2024_017,17,t001,Hong KongODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hk.png,30,84.29,2024,February,ODIs
lrTeamsODIs2024_018,18,t002,United States of AmericaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/us.png,25,83.45,2024,February,ODIs
lrTeamsODIs2024_019,19,t003,BermudaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bm.png,26,82.62,2024,February,ODIs
lrTeamsODIs2024_020,20,t004,IrelandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ie.png,23,81.79,2024,February,ODIs
lrTeamsODIs2024_021,21,t005,AfghanistanODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/af.png,22,80.97,2024,February,ODIs
lrTeamsODIs2024_022,22,t006,NepalODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/np.png,34,80.16,2024,February,ODIs
lrTeamsODIs2024_023,23,t007,Papua New GuineaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pg.png,34,79.36,2024,February,ODIs
lrTeamsODIs2024_024,24,t008,OmanODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/om.png,33,78.57,2024,February,ODIs
lrTeamsODIs2024_025,25,t001,BahrainODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bh.png,22,77.78,2024,February,ODIs
lrTeamsODIs2024_026,26,t002,KuwaitODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,34,77.00,2024,February,ODIs
lrTeamsODIs2024_027,27,t003,MaldivesODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,43,76.23,2024,February,ODIs
lrTeamsODIs2024_028,28,t004,Saudi ArabiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,15,75.47,2024,February,ODIs
lrTeamsODIs2024_029,29,t005,QatarODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,15,74.72,2024,February,ODIs
lrTeamsODIs2024_030,30,t006,PhilippinesODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,10,73.97,2024,February,ODIs
lrTeamsODIs2024_031,31,t007,VanuatuODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,41,73.23,2024,February,ODIs
lrTeamsODIs2024_032,32,t008,MaltaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,35,72.50,2024,February,ODIs
lrTeamsODIs2024_033,33,t001,SpainODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,24,71.77,2024,February,ODIs
lrTeamsODIs2024_034,34,t002,BelizeODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,40,71.06,2024,February,ODIs
lrTeamsODIs2024_035,35,t003,MexicoODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,34,70.34,2024,February,ODIs
lrTeamsODIs2024_036,36,t004,Costa RicaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,33,69.64,2024,February,ODIs
lrTeamsODIs2024_037,37,t005,PanamaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,12,68.94,2024,February,ODIs
lrTeamsODIs2024_038,38,t006,BelgiumODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,14,68.26,2024,February,ODIs
lrTeamsODIs2024_039,39,t007,GermanyODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,13,67.57,2024,February,ODIs
lrTeamsODIs2024_040,40,t008,NigeriaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,36,66.90,2024,February,ODIs
lrTeamsODIs2024_041,41,t001,BotswanaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,45,66.23,2024,February,ODIs
lrTeamsODIs2024_042,42,t002,GhanaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,10,65.57,2024,February,ODIs
lrTeamsODIs2024_043,43,t003,UgandaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,39,64.91,2024,February,ODIs
lrTeamsODIs2024_044,44,t004,ItalyODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,43,64.26,2024,February,ODIs
lrTeamsODIs2024_045,45,t005,GuernseyODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gg.png,36,63.62,2024,February,ODIs
lrTeamsODIs2024_046,46,t006,JerseyODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/je.png,43,62.98,2024,February,ODIs
lrTeamsODIs2024_047,47,t007,NorwayODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/no.png,29,62.35,2024,February,ODIs
lrTeamsODIs2024_048,48,t008,DenmarkODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/dk.png,43,61.73,2024,February,ODIs
lrTeamsODIs2024_049,49,t001,MalaysiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/my.png,25,61.11,2024,February,ODIs
lrTeamsODIs2024_050,50,t002,ThailandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/th.png,19,60.50,2024,February,ODIs
lrTeamsODIs2024_051,51,t003,SamoaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ws.png,39,59.90,2024,February,ODIs
lrTeamsODIs2024_052,52,t004,FinlandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fi.png,13,59.30,2024,February,ODIs
lrTeamsODIs2024_053,53,t005,SingaporeODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sg.png,27,58.70,2024,February,ODIs
lrTeamsODIs2024_054,54,t006,Cayman IslandsODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ky.png,45,58.12,2024,February,ODIs
lrTeamsODIs2024_055,55,t007,AustriaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/at.png,33,57.54,2024,February,ODIs
lrTeamsODIs2024_056,56,t008,RomaniaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ro.png,13,56.96,2024,February,ODIs
lrTeamsODIs2024_057,57,t001,LuxembourgODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lu.png,11,56.39,2024,February,ODIs
lrTeamsODIs2024_058,58,t002,TurkeyODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/tr.png,27,55.83,2024,February,ODIs
lrTeamsODIs2024_059,59,t003,Czech RepublicODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cz.png,42,55.27,2024,February,ODIs
lrTeamsODIs2024_060,60,t004,ArgentinaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ar.png,38,54.72,2024,February,ODIs
lrTeamsODIs2024_061,61,t005,BrazilODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/br.png,45,54.17,2024,February,ODIs
lrTeamsODIs2024_062,62,t006,ChileODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cl.png,40,53.63,2024,February,ODIs
lrTeamsODIs2024_063,63,t007,PeruODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pe.png,18,53.09,2024,February,ODIs
lrTeamsODIs2024_064,64,t008,BulgariaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bg.png,29,52.56,2024,February,ODIs
lrTeamsODIs2024_065,65,t001,SerbiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rs.png,22,52.03,2024,February,ODIs
lrTeamsODIs2024_066,66,t002,GreeceODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gr.png,21,51.51,2024,February,ODIs
lrTeamsODIs2024_067,67,t003,PortugalODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pt.png,42,51.00,2024,February,ODIs
lrTeamsODIs2024_068,68,t004,GibraltarODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gi.png,42,50.49,2024,February,ODIs
lrTeamsODIs2024_069,69,t005,MalawiODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mw.png,32,49.98,2024,February,ODIs
lrTeamsODIs2024_070,70,t006,MozambiqueODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mz.png,40,49.48,2024,February,ODIs
lrTeamsODIs2024_071,71,t007,BhutanODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bt.png,49,48.99,2024,February,ODIs
lrTeamsODIs2024_072,72,t008,Isle of ManODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/im.png,21,48.50,2024,February,ODIs
lrTeamsODIs2024_073,73,t001,FranceODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fr.png,32,48.01,2024,February,ODIs
lrTeamsODIs2024_074,74,t002,SwedenODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/se.png,49,47.53,2024,February,ODIs
lrTeamsODIs2024_075,75,t003,RwandaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rw.png,23,47.06,2024,February,ODIs
lrTeamsODIs2024_076,76,t004,HungaryODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hu.png,14,46.59,2024,February,ODIs
lrTeamsODIs2024_077,77,t005,CyprusODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cy.png,24,46.12,2024,February,ODIs
lrTeamsODIs2024_078,78,t006,EstoniaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ee.png,13,45.66,2024,February,ODIs
lrTeamsODIs2024_079,79,t007,LesothoODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ls.png,20,45.20,2024,February,ODIs
lrTeamsODIs2024_080,80,t008,SeychellesODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sc.png,47,44.75,2024,February,ODIs
lrTeamsODIs2024_081,81,t001,Sierra LeoneODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sl.png,24,44.30,2024,February,ODIs
lrTeamsODIs2024_082,82,t002,SwitzerlandODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ch.png,30,43.86,2024,February,ODIs
lrTeamsODIs2024_083,83,t003,CameroonODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cm.png,33,43.42,2024,February,ODIs
lrTeamsODIs2024_084,84,t004,BahamasODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bs.png,32,42.99,2024,February,ODIs
lrTeamsODIs2024_085,85,t005,IsraelODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/il.png,15,42.56,2024,February,ODIs
lrTeamsODIs2024_086,86,t006,CroatiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hr.png,12,42.13,2024,February,ODIs
lrTeamsODIs2024_087,87,t007,SloveniaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/si.png,26,41.71,2024,February,ODIs
lrTeamsODIs2024_088,88,t008,FijiODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fj.png,19,41.29,2024,February,ODIs
lrTeamsODIs2024_089,89,t001,Cook IslandsODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ck.png,46,40.88,2024,February,ODIs
lrTeamsODIs2024_090,90,t002,IndonesiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/id.png,26,40.47,2024,February,ODIs
lrTeamsODIs2024_091,91,t003,JapanODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/jp.png,25,40.07,2024,February,ODIs
lrTeamsODIs2024_092,92,t004,MaliODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ml.png,11,39.67,2024,February,ODIs
lrTeamsODIs2024_093,93,t005,GambiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gm.png,14,39.27,2024,February,ODIs
lrTeamsODIs2024_094,94,t006,CambodiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kh.png,36,38.88,2024,February,ODIs
lrTeamsODIs2024_095,95,t007,MyanmarODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mm.png,33,38.49,2024,February,ODIs
lrTeamsODIs2024_096,96,t008,MongoliaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mn.png,35,38.10,2024,February,ODIs
lrTeamsODIs2024_097,97,t009,MaliODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ml.png,44,37.72,2024,February,ODIs
lrTeamsODIs2024_098,98,t010,GambiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gm.png,26,37.35,2024,February,ODIs
lrTeamsODIs2024_099,99,t011,CambodiaODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kh.png,47,36.97,2024,February,ODIs
lrTeamsODIs2024_100,100,t012,MaliODIslr,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ml.png,13,36.60,2024,February,ODIs
